District,Commodity,Date,Modal_Price
Mayiladuthurai,Cotton,2025-01-08,7173
Mayiladuthurai,Sugarcane,2025-01-08,3080
Mayiladuthurai,Groundnut,2025-01-08,6943
Mayiladuthurai,Blackgram,2025-01-08,8065
Mayiladuthurai,Coconut,2025-01-08,2748
Mayiladuthurai,Banana,2025-01-08,1867
Mayiladuthurai,Turmeric,2025-01-08,8631
Mayiladuthurai,Tapioca,2025-01-08,1145
Nagapattinam,Rice,2025-01-08,2504
Nagapattinam,Maize,2025-01-08,2182
Nagapattinam,Cotton,2025-01-08,7242
Nagapattinam,Sugarcane,2025-01-08,2970
Nagapattinam,Groundnut,2025-01-08,6478
Nagapattinam,Blackgram,2025-01-08,8018
Nagapattinam,Coconut,2025-01-08,3091
Nagapattinam,Banana,2025-01-08,1949
Nagapattinam,Turmeric,2025-01-08,8611
Nagapattinam,Tapioca,2025-01-08,1264
Namakkal,Rice,2025-01-08,2333
Namakkal,Maize,2025-01-08,2264
Namakkal,Cotton,2025-01-08,7118
Namakkal,Sugarcane,2025-01-08,3228
Namakkal,Groundnut,2025-01-08,6362
Namakkal,Blackgram,2025-01-08,8048
Namakkal,Coconut,2025-01-08,2994
Namakkal,Banana,2025-01-08,1890
Namakkal,Turmeric,2025-01-08,8640
Namakkal,Tapioca,2025-01-08,1187
Nilgiris,Rice,2025-01-08,2274
Nilgiris,Maize,2025-01-08,2256
Nilgiris,Cotton,2025-01-08,7479
Nilgiris,Sugarcane,2025-01-08,3073
Nilgiris,Groundnut,2025-01-08,6323
Nilgiris,Blackgram,2025-01-08,8524
Nilgiris,Coconut,2025-01-08,3114
Nilgiris,Banana,2025-01-08,2023
Nilgiris,Turmeric,2025-01-08,8833
Nilgiris,Tapioca,2025-01-08,1200
Perambalur,Rice,2025-01-08,2353
Perambalur,Maize,2025-01-08,2094
Perambalur,Cotton,2025-01-08,7142
Perambalur,Sugarcane,2025-01-08,3193
Perambalur,Groundnut,2025-01-08,6594
Perambalur,Blackgram,2025-01-08,8924
Perambalur,Coconut,2025-01-08,2886
Perambalur,Banana,2025-01-08,2074
Perambalur,Turmeric,2025-01-08,8073
Perambalur,Tapioca,2025-01-08,1232
Pudukkottai,Rice,2025-01-08,2260
Pudukkottai,Maize,2025-01-08,2271
Pudukkottai,Cotton,2025-01-08,7122
Pudukkottai,Sugarcane,2025-01-08,3198
Pudukkottai,Groundnut,2025-01-08,6457
Pudukkottai,Blackgram,2025-01-08,8787
Pudukkottai,Coconut,2025-01-08,2934
Pudukkottai,Banana,2025-01-08,1873
Pudukkottai,Turmeric,2025-01-08,8599
Pudukkottai,Tapioca,2025-01-08,1276
Ramanathapuram,Rice,2025-01-08,2130
Ramanathapuram,Maize,2025-01-08,2089
Ramanathapuram,Cotton,2025-01-08,7421
Ramanathapuram,Sugarcane,2025-01-08,2921
Ramanathapuram,Groundnut,2025-01-08,6722
Ramanathapuram,Blackgram,2025-01-08,8557
Ramanathapuram,Coconut,2025-01-08,3106
Ramanathapuram,Banana,2025-01-08,1843
Ramanathapuram,Turmeric,2025-01-08,9119
Ramanathapuram,Tapioca,2025-01-08,1261
Ranipet,Rice,2025-01-08,2086
Ranipet,Maize,2025-01-08,1972
Ranipet,Cotton,2025-01-08,6989
Ranipet,Sugarcane,2025-01-08,2898
Ranipet,Groundnut,2025-01-08,6687
Ranipet,Blackgram,2025-01-08,7725
Ranipet,Coconut,2025-01-08,3064
Ranipet,Banana,2025-01-08,2077
Ranipet,Turmeric,2025-01-08,8752
Ranipet,Tapioca,2025-01-08,1213
Salem,Rice,2025-01-08,2038
Salem,Maize,2025-01-08,2173
Salem,Cotton,2025-01-08,7324
Salem,Sugarcane,2025-01-08,3429
Salem,Groundnut,2025-01-08,7040
Salem,Blackgram,2025-01-08,8162
Salem,Coconut,2025-01-08,3070
Salem,Banana,2025-01-08,2073
Salem,Turmeric,2025-01-08,8890
Salem,Tapioca,2025-01-08,1149
Sivaganga,Rice,2025-01-08,2215
Sivaganga,Maize,2025-01-08,2308
Sivaganga,Cotton,2025-01-08,7518
Sivaganga,Sugarcane,2025-01-08,3370
Sivaganga,Groundnut,2025-01-08,6698
Sivaganga,Blackgram,2025-01-08,8265
Sivaganga,Coconut,2025-01-08,3027
Sivaganga,Banana,2025-01-08,1948
Sivaganga,Turmeric,2025-01-08,8519
Sivaganga,Tapioca,2025-01-08,1205
Tenkasi,Rice,2025-01-08,2148
Tenkasi,Maize,2025-01-08,2126
Tenkasi,Cotton,2025-01-08,7262
Tenkasi,Sugarcane,2025-01-08,3201
Tenkasi,Groundnut,2025-01-08,6521
Tenkasi,Blackgram,2025-01-08,8232
Tenkasi,Coconut,2025-01-08,3018
Tenkasi,Banana,2025-01-08,1976
Tenkasi,Turmeric,2025-01-08,8901
Tenkasi,Tapioca,2025-01-08,1160
Thanjavur,Rice,2025-01-08,2032
Thanjavur,Maize,2025-01-08,2175
Thanjavur,Cotton,2025-01-08,6799
Thanjavur,Sugarcane,2025-01-08,2974
Thanjavur,Groundnut,2025-01-08,6405
Thanjavur,Blackgram,2025-01-08,8976
Thanjavur,Coconut,2025-01-08,3128
Thanjavur,Banana,2025-01-08,2020
Thanjavur,Turmeric,2025-01-08,9465
Thanjavur,Tapioca,2025-01-08,1238
Theni,Rice,2025-01-08,2496
Theni,Maize,2025-01-08,2059
Theni,Cotton,2025-01-08,6847
Theni,Sugarcane,2025-01-08,3233
Theni,Groundnut,2025-01-08,6127
Theni,Blackgram,2025-01-08,8686
Theni,Coconut,2025-01-08,3114
Theni,Banana,2025-01-08,1986
Theni,Turmeric,2025-01-08,8390
Theni,Tapioca,2025-01-08,1075
Thoothukudi,Rice,2025-01-08,2329
Thoothukudi,Maize,2025-01-08,2196
Thoothukudi,Cotton,2025-01-08,7350
Thoothukudi,Sugarcane,2025-01-08,3363
Thoothukudi,Groundnut,2025-01-08,6615
Thoothukudi,Blackgram,2025-01-08,7589
Thoothukudi,Coconut,2025-01-08,3228
Thoothukudi,Banana,2025-01-08,2080
Thoothukudi,Turmeric,2025-01-08,8138
Thoothukudi,Tapioca,2025-01-08,1316
Tiruchirappalli,Rice,2025-01-08,2140
Tiruchirappalli,Maize,2025-01-08,2093
Tiruchirappalli,Cotton,2025-01-08,7329
Tiruchirappalli,Sugarcane,2025-01-08,3172
Tiruchirappalli,Groundnut,2025-01-08,6373
Tiruchirappalli,Blackgram,2025-01-08,8460
Tiruchirappalli,Coconut,2025-01-08,3143
Tiruchirappalli,Banana,2025-01-08,1967
Tiruchirappalli,Turmeric,2025-01-08,9020
Tiruchirappalli,Tapioca,2025-01-08,1079
Tirunelveli,Rice,2025-01-08,2192
Tirunelveli,Maize,2025-01-08,2200
Tirunelveli,Cotton,2025-01-08,6909
Tirunelveli,Sugarcane,2025-01-08,3086
Tirunelveli,Groundnut,2025-01-08,6637
Tirunelveli,Blackgram,2025-01-08,7725
Tirunelveli,Coconut,2025-01-08,3119
Tirunelveli,Banana,2025-01-08,1926
Tirunelveli,Turmeric,2025-01-08,8282
Tirunelveli,Tapioca,2025-01-08,1131
Tirupattur,Rice,2025-01-08,2231
Tirupattur,Maize,2025-01-08,2202
Tirupattur,Cotton,2025-01-08,6954
Tirupattur,Sugarcane,2025-01-08,3370
Tirupattur,Groundnut,2025-01-08,5954
Tirupattur,Blackgram,2025-01-08,8897
Tirupattur,Coconut,2025-01-08,2961
Tirupattur,Banana,2025-01-08,2067
Tirupattur,Turmeric,2025-01-08,9085
Tirupattur,Tapioca,2025-01-08,1142
Tiruppur,Rice,2025-01-08,2529
Tiruppur,Maize,2025-01-08,2045
Tiruppur,Cotton,2025-01-08,7568
Tiruppur,Sugarcane,2025-01-08,3171
Tiruppur,Groundnut,2025-01-08,7044
Tiruppur,Blackgram,2025-01-08,9261
Tiruppur,Coconut,2025-01-08,3151
Tiruppur,Banana,2025-01-08,1952
Tiruppur,Turmeric,2025-01-08,8716
Tiruppur,Tapioca,2025-01-08,1154
Tiruvallur,Rice,2025-01-08,2268
Tiruvallur,Maize,2025-01-08,2259
Tiruvallur,Cotton,2025-01-08,7255
Tiruvallur,Sugarcane,2025-01-08,3140
Tiruvallur,Groundnut,2025-01-08,6038
Tiruvallur,Blackgram,2025-01-08,8366
Tiruvallur,Coconut,2025-01-08,2889
Tiruvallur,Banana,2025-01-08,1906
Tiruvallur,Turmeric,2025-01-08,8905
Tiruvallur,Tapioca,2025-01-08,1231
Tiruvannamalai,Rice,2025-01-08,2146
Tiruvannamalai,Maize,2025-01-08,2248
Tiruvannamalai,Cotton,2025-01-08,7832
Tiruvannamalai,Sugarcane,2025-01-08,3141
Tiruvannamalai,Groundnut,2025-01-08,7163
Tiruvannamalai,Blackgram,2025-01-08,8534
Tiruvannamalai,Coconut,2025-01-08,2979
Tiruvannamalai,Banana,2025-01-08,1903
Tiruvannamalai,Turmeric,2025-01-08,9017
Tiruvannamalai,Tapioca,2025-01-08,1184
Tiruvarur,Rice,2025-01-08,2303
Tiruvarur,Maize,2025-01-08,2328
Tiruvarur,Cotton,2025-01-08,6903
Tiruvarur,Sugarcane,2025-01-08,3129
Tiruvarur,Groundnut,2025-01-08,6111
Tiruvarur,Blackgram,2025-01-08,7697
Tiruvarur,Coconut,2025-01-08,3007
Tiruvarur,Banana,2025-01-08,2044
Tiruvarur,Turmeric,2025-01-08,9362
Tiruvarur,Tapioca,2025-01-08,1192
Vellore,Rice,2025-01-08,2505
Vellore,Maize,2025-01-08,2128
Vellore,Cotton,2025-01-08,6723
Vellore,Sugarcane,2025-01-08,2954
Vellore,Groundnut,2025-01-08,6904
Vellore,Blackgram,2025-01-08,8725
Vellore,Coconut,2025-01-08,3036
Vellore,Banana,2025-01-08,1995
Vellore,Turmeric,2025-01-08,9554
Vellore,Tapioca,2025-01-08,1195
Viluppuram,Rice,2025-01-08,2143
Viluppuram,Maize,2025-01-08,2231
Viluppuram,Cotton,2025-01-08,7633
Viluppuram,Sugarcane,2025-01-08,3411
Viluppuram,Groundnut,2025-01-08,6223
Viluppuram,Blackgram,2025-01-08,8145
Viluppuram,Coconut,2025-01-08,2906
Viluppuram,Banana,2025-01-08,2014
Viluppuram,Turmeric,2025-01-08,9276
Viluppuram,Tapioca,2025-01-08,1200
Virudhunagar,Rice,2025-01-08,1956
Virudhunagar,Maize,2025-01-08,2247
Virudhunagar,Cotton,2025-01-08,7453
Virudhunagar,Sugarcane,2025-01-08,3054
Virudhunagar,Groundnut,2025-01-08,5869
Virudhunagar,Blackgram,2025-01-08,7720
Virudhunagar,Coconut,2025-01-08,2966
Virudhunagar,Banana,2025-01-08,1968
Virudhunagar,Turmeric,2025-01-08,8773
Virudhunagar,Tapioca,2025-01-08,1206
